name,auto_budget,currency,auto_budget_amount,auto_budget_period,attachments
65rG-)&2cnG222,Set a fixed amount every period,1,83056,Weekly,Attachments File/Report_1MB.csv
04lK-)&1wtE222,Add an amount every period,1,,Weekly,Attachments File/Report_1MB.csv
00rK-)&6ckV222,Set a fixed amount every period,1,74582,Monthly,Attachments File/Report_1MB.csv
95pU-)&4jqK222,Set a fixed amount every period,1,13344,,Attachments File/Report_1MB.csv
68iF-)&9bpL222,Set a fixed amount every period,1,47270,Yearly,Attachments File/Report_1MB.csv
60vC-)&4kaE222,Add an amount every period,1,52371,Monthly,Attachments File/Report_65MB.csv
29dD-)&1k6K222,Add an amount every period and correct for overspending,1,95773,,Attachments File/Report_1MB.csv
95aC-)&6puZ222,Set a fixed amount every period,1,31885,Yearly,Attachments File/Report_1MB.csv
92jS-)&8okH222,No auto-budget,1,14760,Weekly,Attachments File/Report_1MB.csv
20mR-)&8oyU222,Add an amount every period and correct for overspending,8,670,Yearly,Attachments File/Report_1MB.csv
96hL-)&6i5W222,Set a fixed amount every period,8,54749,Yearly,Attachments File/Report_1MB.csv
56rK-)&2ncF222,No auto-budget,8,61193,Daily,Attachments File/Report_1MB.csv
46uK-)&6phG222,Add an amount every period,8,95225,Monthly,Attachments File/Report_1MB.csv
20qF-)&8ppT222,Add an amount every period and correct for overspending,1,65067,Weekly,Attachments File/Report_1MB.csv
38dW-)&0nxY222,Add an amount every period,1,76682,Weekly,Attachments File/Report_1MB.csv
15wP-)&4duW222,Set a fixed amount every period,1,24062,Weekly,Attachments File/Report_1MB.csv
27mL-)&0qpT222,Add an amount every period and correct for overspending,1,49529,Monthly,Attachments File/Report_1MB.csv
05vW-)&3xbF222,Add an amount every period and correct for overspending,1,14897,Weekly,Attachments File/Report_1MB.csv
38lO-)&5v4J222,Set a fixed amount every period,1,78752,Weekly,Attachments File/Report_1MB.csv
29yB-)&6wdU222,Add an amount every period and correct for overspending,1,213,,Attachments File/Report_1MB.csv
05jN-)&16nL222,No auto-budget,1,17992,Daily,
21hJ-)&6j0H222,Add an amount every period and correct for overspending,1,88784,Weekly,Attachments File/Report_1MB.csv
02iJ-)&1vjP222,Set a fixed amount every period,1,6887,Yearly,Attachments File/Report_1MB.csv
76sA-)&78yD222,Set a fixed amount every period,1,47661,Yearly,
96vN-)&1ttG222,Set a fixed amount every period,1,38064,Weekly,Attachments File/Report_1MB.csv
95cE-)&7nrL222,Set a fixed amount every period,8,7212,Weekly,Attachments File/Report_1MB.csv
98lG-)&191N222,Add an amount every period,1,34876,Weekly,
18yQ-)&0eiB222,Add an amount every period,8,23972,Yearly,Attachments File/Report_1MB.csv
82aT-)&7t4C222,Add an amount every period and correct for overspending,1,90927,Yearly,Attachments File/Report_65MB.csv
80tU-)&2ejQ222,Add an amount every period,1,52058,Daily,Attachments File/Report_1MB.csv
12xZ-)&5rmP222,No auto-budget,8,47553,Daily,Attachments File/Report_1MB.csv
,Set a fixed amount every period,8,73955,Daily,Attachments File/Report_1MB.csv
48eJ-)&1wsC222,No auto-budget,1,41294,Daily,
33iG-)&5xrD222,No auto-budget,8,71726,Monthly,Attachments File/Report_1MB.csv
76bN-)&9rpI222,Add an amount every period,1,78720,Weekly,Attachments File/Report_1MB.csv
14iG-)&4myK222,No auto-budget,8,30222,Monthly,Attachments File/Report_1MB.csv
26fC-)&9d2M222,Add an amount every period and correct for overspending,8,53663,Weekly,Attachments File/Report_1MB.csv
09hF-)&73xI222,No auto-budget,8,59440,Daily,Attachments File/Report_1MB.csv
27sU-)&0euC222,No auto-budget,8,21127,Weekly,Attachments File/Report_1MB.csv
27gZ-)&2fcO222,No auto-budget,8,85850,Yearly,Attachments File/Report_1MB.csv
07bY-)&0rmY222,Add an amount every period and correct for overspending,8,21086,Daily,Attachments File/Report_1MB.csv
85vA-)&39zA222,Set a fixed amount every period,8,53364,Yearly,Attachments File/Report_1MB.csv
77aK-)&87iD222,Add an amount every period,8,33036,Daily,Attachments File/Report_1MB.csv
44oI-)&8xeN222,Set a fixed amount every period,1,30019,Daily,Attachments File/Report_1MB.csv
64jK-)&8uzO222,Set a fixed amount every period,8,,Yearly,Attachments File/Report_1MB.csv
34gW-)&1kaN222,Set a fixed amount every period,1,61476,,Attachments File/Report_1MB.csv
44lA-)&1s5P222,No auto-budget,1,2285,Weekly,Attachments File/Report_65MB.csv
50iF-)&0c2G222,Add an amount every period,8,78092,Yearly,Attachments File/Report_1MB.csv
76fW-)&5u4F222,Set a fixed amount every period,8,2987,Weekly,Attachments File/Report_1MB.csv
22oX-)&3j5G222,Set a fixed amount every period,8,78914,Weekly,Attachments File/Report_65MB.csv
71qR-)&26sL222,No auto-budget,8,66608,Weekly,Attachments File/Report_65MB.csv
34oV-)&7wqC222,Add an amount every period and correct for overspending,8,48455,Yearly,Attachments File/Report_1MB.csv
46fZ-)&1ajE222,Add an amount every period,8,26,Daily,Attachments File/Report_1MB.csv
72tO-)&1y0H222,Add an amount every period and correct for overspending,8,2585,Daily,Attachments File/Report_1MB.csv
24vU-)&0s1X222,No auto-budget,8,89092,Yearly,Attachments File/Report_65MB.csv
94pE-)&7uoK222,Add an amount every period and correct for overspending,1,43434,Daily,Attachments File/Report_65MB.csv
94nM-)&7k6O222,Add an amount every period and correct for overspending,1,30770,Yearly,Attachments File/Report_1MB.csv
64yQ-)&9yxX222,Add an amount every period and correct for overspending,1,58545,Weekly,Attachments File/Report_1MB.csv
93hU-)&2x2B222,Add an amount every period,8,41776,Yearly,Attachments File/Report_1MB.csv
56eH-)&4q6P222,Add an amount every period and correct for overspending,8,29841,Monthly,Attachments File/Report_1MB.csv
85gC-)&2thH222,No auto-budget,8,39705,Yearly,
59aL-)&6bwR222,No auto-budget,1,88316,Daily,Attachments File/Report_65MB.csv
85gT-)&8j4Q222,No auto-budget,8,99478,Weekly,Attachments File/Report_65MB.csv
13cX-)&5orE222,No auto-budget,1,5817,Weekly,Attachments File/Report_1MB.csv
97tL-)&66wP222,Set a fixed amount every period,8,96188,Daily,
22lB-)&43gQ222,Add an amount every period,8,67170,Daily,Attachments File/Report_1MB.csv
41rC-)&4ttY222,Add an amount every period,8,49714,Monthly,Attachments File/Report_1MB.csv
04nD-)&19nL222,Add an amount every period and correct for overspending,1,52788,,Attachments File/Report_65MB.csv
64uA-)&55sA222,Add an amount every period and correct for overspending,8,32599,Daily,Attachments File/Report_1MB.csv
33hP-)&1koF222,No auto-budget,1,56858,Weekly,Attachments File/Report_1MB.csv
75xH-)&7g9Q222,Add an amount every period and correct for overspending,8,37648,Weekly,Attachments File/Report_1MB.csv
29wL-)&5pgP222,No auto-budget,8,91660,Daily,Attachments File/Report_1MB.csv
69hV-)&9nxZ222,Add an amount every period and correct for overspending,8,,Monthly,Attachments File/Report_1MB.csv
16kB-)&3d7O222,No auto-budget,8,34685,Weekly,Attachments File/Report_1MB.csv
88bS-)&0l4Y222,Add an amount every period and correct for overspending,1,52687,Daily,Attachments File/Report_65MB.csv
67tS-)&55cX222,No auto-budget,8,80390,Monthly,Attachments File/Report_1MB.csv
,Add an amount every period,1,73973,Daily,
47vV-)&0klO222,No auto-budget,1,45850,Yearly,Attachments File/Report_1MB.csv
37sN-)&0ybN222,Add an amount every period and correct for overspending,8,,Yearly,Attachments File/Report_1MB.csv
61oN-)&43sM222,Add an amount every period,1,52705,Yearly,Attachments File/Report_1MB.csv
92dC-)&1llF222,Add an amount every period,8,80544,Weekly,Attachments File/Report_65MB.csv
39uU-)&9h3F222,Set a fixed amount every period,8,52551,Weekly,Attachments File/Report_1MB.csv
30hR-)&167D222,Add an amount every period and correct for overspending,1,59130,Daily,Attachments File/Report_1MB.csv
76gG-)&5f5T222,No auto-budget,1,45957,Monthly,Attachments File/Report_65MB.csv
48pY-)&76iA222,Set a fixed amount every period,1,50218,Daily,Attachments File/Report_1MB.csv
51mM-)&23cZ222,Add an amount every period,8,58688,Weekly,Attachments File/Report_1MB.csv
19sD-)&8okW222,Add an amount every period and correct for overspending,8,3597,,Attachments File/Report_1MB.csv
05cR-)&74xA222,Set a fixed amount every period,1,,Daily,Attachments File/Report_1MB.csv
30kX-)&90rS222,Add an amount every period and correct for overspending,1,62224,Weekly,Attachments File/Report_1MB.csv
30wD-)&7leR222,Set a fixed amount every period,1,78683,Daily,Attachments File/Report_1MB.csv
22nH-)&207R222,Set a fixed amount every period,1,93020,Daily,Attachments File/Report_1MB.csv
29iC-)&2l8S222,No auto-budget,1,78347,Yearly,Attachments File/Report_1MB.csv
87dQ-)&78hK222,No auto-budget,1,42202,Monthly,
81xA-)&7rgG222,Add an amount every period and correct for overspending,8,63628,Yearly,Attachments File/Report_1MB.csv
25wN-)&04gZ222,No auto-budget,1,95300,Yearly,Attachments File/Report_65MB.csv
23eR-)&4ucE222,Set a fixed amount every period,1,23812,Daily,Attachments File/Report_1MB.csv
61zE-)&6jsW222,No auto-budget,1,75208,Monthly,
32lW-)&0ajK222,Add an amount every period and correct for overspending,1,83612,Weekly,Attachments File/Report_1MB.csv
87mG-)&6v1U222,Add an amount every period,8,73072,Yearly,Attachments File/Report_1MB.csv
39xD-)&1v1N222,Add an amount every period and correct for overspending,1,37708,Yearly,Attachments File/Report_1MB.csv
27cG-)&82uY222,Set a fixed amount every period,1,83933,Daily,Attachments File/Report_1MB.csv
18pX-)&5f1H222,Add an amount every period and correct for overspending,1,59509,Weekly,
43sT-)&62kQ222,Add an amount every period and correct for overspending,8,5431,Yearly,Attachments File/Report_1MB.csv
70kU-)&2ddL222,Set a fixed amount every period,8,45708,Yearly,Attachments File/Report_1MB.csv
84sP-)&7peZ222,No auto-budget,8,59308,Weekly,Attachments File/Report_1MB.csv
66pX-)&2waA222,Add an amount every period and correct for overspending,1,8483,Weekly,Attachments File/Report_1MB.csv
52kW-)&0tnV222,Add an amount every period and correct for overspending,1,,Monthly,
92dO-)&80fX222,Add an amount every period,8,12997,Monthly,Attachments File/Report_1MB.csv
75dX-)&4ymS222,Set a fixed amount every period,8,82883,,Attachments File/Report_1MB.csv
99eM-)&9jbP222,Add an amount every period,1,20472,Daily,Attachments File/Report_1MB.csv
32pR-)&1xuG222,Set a fixed amount every period,8,25867,Daily,Attachments File/Report_65MB.csv
47aG-)&020X222,Add an amount every period,1,73395,Weekly,Attachments File/Report_1MB.csv
90zB-)&091Z222,Add an amount every period and correct for overspending,1,55534,Weekly,Attachments File/Report_1MB.csv
27zB-)&88kM222,No auto-budget,1,25775,Daily,Attachments File/Report_1MB.csv
39fX-)&6gwC222,Add an amount every period,8,92792,Yearly,Attachments File/Report_65MB.csv
43yG-)&2epK222,No auto-budget,8,50887,Weekly,Attachments File/Report_1MB.csv
05bR-)&62qW222,Set a fixed amount every period,8,48201,Yearly,Attachments File/Report_1MB.csv
94xZ-)&0bkL222,Set a fixed amount every period,1,62226,,Attachments File/Report_1MB.csv
23zU-)&4afW222,Set a fixed amount every period,1,16143,Monthly,Attachments File/Report_1MB.csv
59mU-)&6flZ222,Add an amount every period,8,16777,Monthly,Attachments File/Report_1MB.csv
58lI-)&12xT222,No auto-budget,1,3491,Monthly,Attachments File/Report_1MB.csv
52sO-)&2u2K222,Set a fixed amount every period,8,75447,Daily,Attachments File/Report_1MB.csv
71kD-)&2h5Y222,No auto-budget,1,81087,Monthly,Attachments File/Report_1MB.csv
54hB-)&0ifY222,No auto-budget,8,99102,Monthly,Attachments File/Report_1MB.csv
,Set a fixed amount every period,8,71259,Daily,Attachments File/Report_65MB.csv
26rR-)&4s8E222,Add an amount every period,1,21196,Weekly,Attachments File/Report_1MB.csv
35hJ-)&55oI222,Add an amount every period,8,43445,Daily,Attachments File/Report_1MB.csv
20sO-)&34pA222,Add an amount every period and correct for overspending,8,39032,Weekly,Attachments File/Report_1MB.csv
31aD-)&4fkX222,Add an amount every period,8,70756,Daily,Attachments File/Report_1MB.csv
76rW-)&5yxS222,Set a fixed amount every period,8,56908,Yearly,Attachments File/Report_1MB.csv
83sD-)&7l4B222,Add an amount every period and correct for overspending,1,68578,Monthly,Attachments File/Report_1MB.csv
16dL-)&4qoB222,Add an amount every period,1,28910,Weekly,Attachments File/Report_65MB.csv
85uO-)&7vmY222,Add an amount every period,1,,Daily,Attachments File/Report_1MB.csv
16qE-)&8cvA222,No auto-budget,1,51623,Weekly,Attachments File/Report_1MB.csv
52jF-)&1g2Y222,Add an amount every period and correct for overspending,8,37446,Monthly,Attachments File/Report_1MB.csv
33oL-)&06uO222,Add an amount every period and correct for overspending,8,,Daily,Attachments File/Report_1MB.csv
02wZ-)&5u3D222,Add an amount every period,8,68878,Yearly,Attachments File/Report_1MB.csv
48eF-)&58qD222,Set a fixed amount every period,8,65664,Daily,Attachments File/Report_65MB.csv
87qL-)&40xV222,Add an amount every period and correct for overspending,8,23379,Monthly,
47dF-)&1i8A222,Add an amount every period and correct for overspending,1,4239,Monthly,Attachments File/Report_1MB.csv
74zB-)&85nS222,Add an amount every period,1,47825,Monthly,Attachments File/Report_1MB.csv
47eW-)&69xA222,No auto-budget,8,44163,Daily,Attachments File/Report_1MB.csv
06qB-)&4x5Z222,Add an amount every period and correct for overspending,8,20413,Yearly,Attachments File/Report_1MB.csv
64vR-)&162E222,Add an amount every period and correct for overspending,8,49888,Daily,Attachments File/Report_1MB.csv
12sK-)&4q6O222,Add an amount every period and correct for overspending,8,69747,Yearly,Attachments File/Report_1MB.csv
44cZ-)&8voF222,No auto-budget,1,,Daily,Attachments File/Report_1MB.csv
67cL-)&2ejW222,Set a fixed amount every period,1,69082,Daily,Attachments File/Report_1MB.csv
68cT-)&2m6D222,Add an amount every period and correct for overspending,8,78721,Monthly,Attachments File/Report_1MB.csv
54bP-)&56oM222,Set a fixed amount every period,1,43665,Monthly,Attachments File/Report_1MB.csv
29cU-)&90eB222,No auto-budget,8,32747,Daily,Attachments File/Report_65MB.csv
09lS-)&6zhB222,Set a fixed amount every period,8,12847,Daily,Attachments File/Report_65MB.csv
51iB-)&6fzP222,Set a fixed amount every period,1,68990,Weekly,Attachments File/Report_1MB.csv
20zZ-)&7ctL222,Add an amount every period,1,29112,Monthly,Attachments File/Report_1MB.csv
72xT-)&4s6O222,Add an amount every period and correct for overspending,1,90682,Daily,
69hB-)&9clQ222,Set a fixed amount every period,1,35221,Yearly,Attachments File/Report_1MB.csv
,No auto-budget,1,29379,Weekly,Attachments File/Report_65MB.csv
16rG-)&9pnA222,Set a fixed amount every period,8,97972,,
86oL-)&0h8C222,Add an amount every period,1,8866,Weekly,Attachments File/Report_65MB.csv
43wU-)&6ziI222,Add an amount every period,8,,Monthly,Attachments File/Report_1MB.csv
66nX-)&9prF222,Set a fixed amount every period,8,70578,Daily,Attachments File/Report_1MB.csv
,No auto-budget,8,74996,Daily,
,No auto-budget,1,92425,Yearly,Attachments File/Report_65MB.csv
72wF-)&1i0B222,Add an amount every period and correct for overspending,1,71894,Weekly,Attachments File/Report_1MB.csv
68gI-)&73aE222,Add an amount every period and correct for overspending,1,38005,Daily,Attachments File/Report_1MB.csv
33vC-)&8cjT222,No auto-budget,1,145,Monthly,Attachments File/Report_1MB.csv
30qW-)&4wnV222,Set a fixed amount every period,1,26233,Weekly,Attachments File/Report_1MB.csv
76bI-)&2pwM222,Set a fixed amount every period,1,56571,Monthly,Attachments File/Report_1MB.csv
79jD-)&426U222,Add an amount every period,8,86969,Yearly,Attachments File/Report_1MB.csv
09sJ-)&5ulO222,Set a fixed amount every period,1,89219,Daily,Attachments File/Report_1MB.csv
49qM-)&1n3U222,Add an amount every period,1,79273,Yearly,Attachments File/Report_1MB.csv
12jQ-)&9u6I222,Add an amount every period,1,74531,Weekly,Attachments File/Report_65MB.csv
84vU-)&1zcT222,Add an amount every period,1,98310,Monthly,Attachments File/Report_1MB.csv
11uW-)&0fsK222,Add an amount every period and correct for overspending,1,74565,Yearly,Attachments File/Report_1MB.csv
32dM-)&924P222,Set a fixed amount every period,8,3639,Monthly,Attachments File/Report_65MB.csv
73tZ-)&78xM222,Set a fixed amount every period,1,4953,Weekly,Attachments File/Report_1MB.csv
39kO-)&6ijI222,Add an amount every period and correct for overspending,1,43287,Yearly,Attachments File/Report_1MB.csv
93lP-)&1fxL222,Set a fixed amount every period,8,51796,Weekly,
55gE-)&3o8Z222,Add an amount every period and correct for overspending,1,76820,Monthly,Attachments File/Report_1MB.csv
50gB-)&9jpB222,Set a fixed amount every period,8,44475,Yearly,Attachments File/Report_65MB.csv
60qQ-)&8spK222,Add an amount every period and correct for overspending,1,63839,Daily,Attachments File/Report_65MB.csv
27rD-)&9h5W222,Add an amount every period and correct for overspending,1,86515,Weekly,Attachments File/Report_1MB.csv
91yT-)&0htB222,Add an amount every period and correct for overspending,8,50166,Monthly,
26qZ-)&0f9V222,Add an amount every period,1,26082,Yearly,Attachments File/Report_1MB.csv
16iP-)&8wpW222,Add an amount every period and correct for overspending,1,24276,Daily,Attachments File/Report_1MB.csv
22xV-)&31yU222,Add an amount every period and correct for overspending,1,71853,Yearly,Attachments File/Report_1MB.csv
96oR-)&99mX222,Set a fixed amount every period,8,31855,Daily,Attachments File/Report_1MB.csv
,Add an amount every period,8,75285,Monthly,Attachments File/Report_1MB.csv
79sJ-)&3qxY222,No auto-budget,8,43162,Weekly,Attachments File/Report_1MB.csv
37dA-)&8tnA222,No auto-budget,8,55962,Monthly,Attachments File/Report_1MB.csv
09vX-)&204A222,No auto-budget,8,93633,Monthly,
72dJ-)&3wmM222,Set a fixed amount every period,1,47022,Weekly,Attachments File/Report_1MB.csv
02fO-)&9mfB222,No auto-budget,1,91168,Weekly,
00kU-)&26oY222,Add an amount every period,8,52776,Monthly,Attachments File/Report_1MB.csv
18mA-)&8vsW222,Add an amount every period,1,91216,Monthly,Attachments File/Report_1MB.csv
,No auto-budget,1,70273,Daily,Attachments File/Report_1MB.csv
64fU-)&4rwH222,No auto-budget,1,,Monthly,Attachments File/Report_1MB.csv
33yB-)&72uG222,No auto-budget,8,71832,Yearly,
15lK-)&9pkP222,Add an amount every period and correct for overspending,8,,Monthly,Attachments File/Report_1MB.csv
07xQ-)&83nA222,Set a fixed amount every period,1,16935,Weekly,Attachments File/Report_1MB.csv
97xB-)&4jnE222,Add an amount every period,8,35871,Daily,
37wQ-)&835F222,Add an amount every period and correct for overspending,8,48614,Weekly,Attachments File/Report_65MB.csv
22zI-)&0p6M222,No auto-budget,8,59949,Weekly,Attachments File/Report_1MB.csv
95mC-)&20cJ222,Add an amount every period,1,16778,Monthly,Attachments File/Report_1MB.csv
28zC-)&5urP222,No auto-budget,1,,Daily,Attachments File/Report_1MB.csv
24cB-)&9q3U222,Add an amount every period and correct for overspending,1,86096,Monthly,Attachments File/Report_1MB.csv
,No auto-budget,8,71593,Weekly,Attachments File/Report_1MB.csv
15bJ-)&2j9P222,No auto-budget,1,55622,Monthly,Attachments File/Report_1MB.csv
93aF-)&7tdP222,Add an amount every period and correct for overspending,1,32169,Monthly,
29nE-)&1ajD222,Set a fixed amount every period,8,62030,Daily,Attachments File/Report_1MB.csv
83yV-)&96uO222,Add an amount every period and correct for overspending,8,31154,Daily,Attachments File/Report_1MB.csv
13dT-)&396N222,Add an amount every period,1,19066,Weekly,Attachments File/Report_1MB.csv
41iN-)&3gvV222,Add an amount every period,8,2021,Daily,Attachments File/Report_1MB.csv
75vM-)&7b1T222,Set a fixed amount every period,1,,Yearly,Attachments File/Report_1MB.csv
55uB-)&5dzM222,Add an amount every period and correct for overspending,1,76482,Monthly,Attachments File/Report_1MB.csv
54cK-)&77xO222,Add an amount every period and correct for overspending,8,78892,Yearly,Attachments File/Report_1MB.csv
15uJ-)&0fsE222,Add an amount every period and correct for overspending,1,11784,Monthly,Attachments File/Report_1MB.csv
19bY-)&5e0X222,No auto-budget,8,88440,Weekly,Attachments File/Report_1MB.csv
58cE-)&7nzD222,Add an amount every period,1,83711,Yearly,
92pW-)&4reF222,Set a fixed amount every period,8,24045,Weekly,Attachments File/Report_1MB.csv
13xT-)&0f5B222,No auto-budget,8,8643,Monthly,Attachments File/Report_1MB.csv
03sC-)&4ydD222,Add an amount every period and correct for overspending,1,20397,Daily,Attachments File/Report_1MB.csv
19bN-)&9gpI222,Add an amount every period,1,72233,Yearly,Attachments File/Report_1MB.csv
28jH-)&9toW222,Add an amount every period,8,15272,Daily,Attachments File/Report_1MB.csv
57nB-)&8mtS222,Add an amount every period,8,74085,Daily,Attachments File/Report_1MB.csv
,Add an amount every period,8,3687,Weekly,Attachments File/Report_65MB.csv
94eQ-)&4eaC222,Add an amount every period and correct for overspending,8,46166,,Attachments File/Report_1MB.csv
95dT-)&850K222,Add an amount every period and correct for overspending,8,96705,Yearly,Attachments File/Report_1MB.csv
80gX-)&4k3Q222,No auto-budget,8,44616,Monthly,Attachments File/Report_1MB.csv
34uK-)&4p4P222,No auto-budget,8,36988,Monthly,Attachments File/Report_1MB.csv
04zL-)&566J222,Add an amount every period and correct for overspending,8,77356,Daily,
87qV-)&4x6S222,Add an amount every period and correct for overspending,8,60650,Monthly,Attachments File/Report_1MB.csv
55dE-)&9ihH222,Add an amount every period and correct for overspending,8,,Yearly,Attachments File/Report_65MB.csv
41nC-)&4q6M222,Add an amount every period,8,54289,Monthly,
88nP-)&8k5B222,No auto-budget,8,94792,Daily,Attachments File/Report_1MB.csv
66xZ-)&119L222,Set a fixed amount every period,8,93176,Yearly,Attachments File/Report_1MB.csv
60jX-)&05rK222,Add an amount every period,8,29357,Yearly,Attachments File/Report_1MB.csv
23nR-)&0x3E222,No auto-budget,8,63968,Yearly,Attachments File/Report_1MB.csv
59oR-)&1pmU222,Add an amount every period and correct for overspending,8,50764,Daily,Attachments File/Report_1MB.csv
10yO-)&0g6P222,No auto-budget,8,38725,Yearly,Attachments File/Report_1MB.csv
51uC-)&8s9F222,Add an amount every period,8,38841,Yearly,Attachments File/Report_1MB.csv
34gI-)&52pL222,Add an amount every period,8,7678,Yearly,Attachments File/Report_65MB.csv
34eR-)&14sI222,Add an amount every period,8,15619,Monthly,Attachments File/Report_1MB.csv
26lT-)&3joC222,No auto-budget,1,1466,Weekly,Attachments File/Report_1MB.csv
93xM-)&53aX222,No auto-budget,1,24520,Weekly,Attachments File/Report_1MB.csv
45sG-)&2p0P222,Set a fixed amount every period,1,65298,Weekly,Attachments File/Report_65MB.csv
77rO-)&74yM222,Set a fixed amount every period,8,81284,Daily,
35gN-)&7soO222,Add an amount every period and correct for overspending,1,82510,Yearly,Attachments File/Report_1MB.csv
33dW-)&2f7H222,Set a fixed amount every period,8,87086,Yearly,Attachments File/Report_1MB.csv
94lX-)&2ypB222,Add an amount every period and correct for overspending,8,6728,,Attachments File/Report_1MB.csv
08nJ-)&0qjD222,No auto-budget,1,93819,Weekly,Attachments File/Report_1MB.csv
04tL-)&262X222,Add an amount every period,1,,Yearly,
73mX-)&40yN222,Add an amount every period,1,13683,Monthly,Attachments File/Report_65MB.csv
76wX-)&6ndI222,Set a fixed amount every period,1,93717,Daily,Attachments File/Report_1MB.csv
85aA-)&71vA222,Set a fixed amount every period,1,70836,Yearly,Attachments File/Report_1MB.csv
47yO-)&7z3E222,Add an amount every period,1,645,Weekly,Attachments File/Report_1MB.csv
67vW-)&8wwS222,Add an amount every period and correct for overspending,8,27888,Yearly,Attachments File/Report_1MB.csv
46jL-)&5sbX222,Add an amount every period,8,93228,Yearly,
,Set a fixed amount every period,8,22723,Daily,Attachments File/Report_1MB.csv
82cI-)&48lK222,Add an amount every period and correct for overspending,1,10775,Weekly,Attachments File/Report_1MB.csv
40cI-)&9ovM222,Add an amount every period,1,82895,Weekly,Attachments File/Report_1MB.csv
36yX-)&8d2O222,No auto-budget,8,81789,,Attachments File/Report_1MB.csv
,Set a fixed amount every period,8,17001,Monthly,Attachments File/Report_1MB.csv
84wZ-)&1c8M222,Set a fixed amount every period,8,40637,Daily,
,Add an amount every period and correct for overspending,8,91903,Weekly,
04sN-)&93nP222,Set a fixed amount every period,8,38764,Weekly,Attachments File/Report_1MB.csv
33qW-)&8d3O222,No auto-budget,8,48897,Weekly,Attachments File/Report_1MB.csv
76cF-)&3ctG222,Set a fixed amount every period,1,,Yearly,Attachments File/Report_1MB.csv
42hJ-)&0hiA222,No auto-budget,1,90891,Daily,Attachments File/Report_1MB.csv
50iV-)&4btT222,No auto-budget,1,19143,Daily,Attachments File/Report_1MB.csv
92bE-)&1eaN222,Add an amount every period and correct for overspending,1,,Daily,Attachments File/Report_65MB.csv
99zW-)&51zR222,Add an amount every period and correct for overspending,8,62316,Weekly,Attachments File/Report_1MB.csv
67jI-)&7fsO222,Add an amount every period,1,90774,Weekly,Attachments File/Report_1MB.csv
23bX-)&593L222,No auto-budget,8,67989,Daily,
93oM-)&1h1N222,Add an amount every period,1,,Weekly,Attachments File/Report_1MB.csv
73eA-)&0b8Y222,Set a fixed amount every period,1,98624,Monthly,Attachments File/Report_1MB.csv
16sM-)&0ilK222,Set a fixed amount every period,8,4689,Weekly,
11qB-)&6guW222,Set a fixed amount every period,8,40053,,Attachments File/Report_1MB.csv
72xI-)&1jiW222,No auto-budget,8,92041,Weekly,
14nG-)&8inL222,No auto-budget,8,13259,Daily,Attachments File/Report_1MB.csv
44oD-)&77jS222,Add an amount every period and correct for overspending,1,67458,Yearly,Attachments File/Report_1MB.csv
90xP-)&1etS222,Set a fixed amount every period,1,87113,Daily,Attachments File/Report_1MB.csv
23eD-)&6rfE222,No auto-budget,1,42224,Weekly,Attachments File/Report_1MB.csv
07eR-)&62sS222,Add an amount every period,1,49370,Weekly,Attachments File/Report_1MB.csv
74gW-)&2boC222,Set a fixed amount every period,8,62708,Yearly,Attachments File/Report_1MB.csv
78aE-)&1anI222,Add an amount every period and correct for overspending,1,56031,Yearly,Attachments File/Report_1MB.csv
23wD-)&1r0H222,Add an amount every period,1,,Monthly,
80lU-)&70lK222,Set a fixed amount every period,1,2207,Yearly,Attachments File/Report_1MB.csv
16kE-)&4wnL222,No auto-budget,8,51200,Monthly,Attachments File/Report_65MB.csv
21dF-)&63sC222,Add an amount every period,1,84298,Daily,Attachments File/Report_1MB.csv
22wG-)&68wQ222,No auto-budget,1,30823,Yearly,Attachments File/Report_1MB.csv
56hF-)&25bI222,Add an amount every period,1,14457,Daily,Attachments File/Report_1MB.csv
59cI-)&5cuS222,No auto-budget,8,38316,Daily,Attachments File/Report_65MB.csv
31yT-)&0ufX222,Add an amount every period and correct for overspending,1,14751,Yearly,
68oF-)&2iiN222,Add an amount every period and correct for overspending,8,16352,Yearly,Attachments File/Report_1MB.csv
40tO-)&1v7F222,Add an amount every period,1,72740,Daily,Attachments File/Report_1MB.csv
07eX-)&2rvT222,Add an amount every period and correct for overspending,1,56279,Yearly,Attachments File/Report_1MB.csv
16pP-)&5mxN222,Add an amount every period and correct for overspending,8,,Monthly,Attachments File/Report_1MB.csv
93jO-)&8gxN222,Set a fixed amount every period,8,92281,Monthly,Attachments File/Report_1MB.csv
28sT-)&6xuL222,Set a fixed amount every period,8,3951,Monthly,Attachments File/Report_1MB.csv
71hQ-)&1kjA222,No auto-budget,8,56435,Yearly,Attachments File/Report_1MB.csv
78dM-)&26nR222,Add an amount every period,8,41588,Weekly,Attachments File/Report_65MB.csv
72rP-)&3csU222,No auto-budget,8,5311,Yearly,Attachments File/Report_1MB.csv
55tI-)&4r4A222,Add an amount every period,8,44281,Weekly,Attachments File/Report_1MB.csv
00sH-)&0mtH222,Add an amount every period,8,8788,Yearly,Attachments File/Report_1MB.csv
10vL-)&9cfT222,No auto-budget,1,56219,Weekly,Attachments File/Report_1MB.csv
06cU-)&4cqG222,No auto-budget,8,55015,Monthly,Attachments File/Report_65MB.csv
07bG-)&104X222,Set a fixed amount every period,8,95727,Daily,Attachments File/Report_1MB.csv
